x,y
677871.4080036522,-1462993.5181526912
677382.1547221834,-1463092.1891646255
676889.0671791878,-1463173.708395004
676393.8252905526,-1463241.5049939544
675901.8837007753,-1463328.5325584805
675413.0522487446,-1463433.1875061728
674921.0592872199,-1463520.9880695445
674428.117047601,-1463604.0792918925
673936.1403042721,-1463692.892569657
673442.5965448386,-1463772.487913151
672951.8287302229,-1463867.1042688189
672461.4781830893,-1463964.3581669088
671968.8188486121,-1464049.4728964095
671474.6064532975,-1464125.134343127
670981.5388581807,-1464207.2353463059
670490.6237988453,-1464301.6322680358
669997.8390852993,-1464385.786482969
669506.2921383176,-1464476.92679341
669015.1127552404,-1464570.2124412693
668522.7911470273,-1464657.2785109056
668030.931364839,-1464747.028337488
667537.890310633,-1464829.8269489142
667044.355617484,-1464909.2301203785
666551.4998299639,-1464993.107143498
666059.3408449967,-1465080.932102274
665568.0823783468,-1465173.8386115236
665076.9398080619,-1465267.267859889
664584.4212706402,-1465353.190361899
664091.5431583908,-1465437.2055626188
663597.4342525868,-1465513.1647218934
663101.4944678491,-1465576.0707746507
662609.5578527325,-1465662.3237951342
662121.1229844968,-1465768.850001332
661630.1077695838,-1465862.766526436
661137.4953263894,-1465947.8481797683
660647.0281214907,-1466044.4387574908
660156.5823758331,-1466141.2078803517
659663.6272401586,-1466224.4965589836
659170.1760231891,-1466304.9911010112
658678.0762758004,-1466393.3808954016
658186.1375679382,-1466482.7396878067
657693.9774902791,-1466570.8675746606
657200.5797848927,-1466651.4428289153
656706.7534099633,-1466729.6281568622
656213.1438375973,-1466809.2755960713
655720.3014645855,-1466892.9881118895
677417.7105936657,-1462068.466538627
676922.9981020353,-1462140.879595815
670530.0823823853,-1463296.4021385212
670032.6316836616,-1463344.3236582628
669051.0538493297,-1463529.9205904775
668558.8710382179,-1463617.8018507801
668065.8463279712,-1463700.840359759
656256.5968188769,-1465781.1876887677
655764.8896314855,-1465869.86566406
677044.319424774,-1461122.1885406568
676554.7431825185,-1461223.3144656217
670154.5987711909,-1462322.1171772412
669665.371810565,-1462422.9295621847
668182.1363078138,-1462642.0070906144
667693.1201073909,-1462744.3623038174
655890.836754886,-1464877.298748286
655396.8097442508,-1464947.6051123342
666608.7953799596,-1461917.0977724353
667105.4999707617,-1461860.4357773808
667598.8842648049,-1461781.2841126458
669564.6193908202,-1461422.9964346893
670053.8830066663,-1461320.8919676456
676454.0998567028,-1460197.7187282476
676944.3996377824,-1460100.050728824
655523.2938585299,-1462852.8578054842
665854.9333929288,-1461051.5210549682
666346.4288371074,-1460960.028414111
666837.2640619891,-1460865.3668888626
669298.768925174,-1460431.0173819708
669791.7527741806,-1460347.7242014476
676677.8566916531,-1459110.229278642
677172.2811616932,-1459036.5662080974
676903.123060115,-1458075.3512471726
676410.4050258225,-1458160.189417486
675916.9953108912,-1458240.8944855928
675424.7513623663,-1458328.2409098132
674935.8241609131,-1458432.3229073756
674446.8860889106,-1458536.059035665
673953.3746627384,-1458615.3432139035
673458.7475843128,-1458688.2816704349
672965.4945028463,-1458769.8271349887
672474.332778549,-1458863.1764149386
671982.9685791116,-1458955.5030271618
671490.0362610418,-1459038.888789354
670995.1679504676,-1459109.8035866995
670501.1408107372,-1459186.4801038667
670006.7740574883,-1459260.3542436303
669510.9396124907,-1459323.7642614313
669019.5509996368,-1459413.6396674272
668535.299557115,-1459537.2952718881
668050.6687872688,-1459659.6089935894
667560.7289329945,-1459758.7191646523
667067.3381134425,-1459839.2528268534
666572.0689266523,-1459907.674749891
666076.9623013317,-1459976.7503288358
665586.2327853381,-1460070.9476427936
665098.1463684484,-1460179.3134078083
664608.5514431812,-1460280.6122026506
664116.1833847708,-1460366.7488017622
663622.3191797172,-1460444.3362059377
663129.1669680527,-1460526.4951033434
662633.261821968,-1460587.4281333613
662134.1864273184,-1460605.5512783835
661635.310924692,-1460618.7332610919
661143.0291367912,-1460697.8069446294
660661.7411261882,-1460831.0480663169
660188.5745212828,-1460992.3060165609
659711.6573241736,-1461141.3848004874
659223.925139988,-1461248.2809259237
658730.1753035061,-1461326.3009367401
658236.0754103641,-1461402.540338319
657741.4471301596,-1461475.364209123
657250.1501161347,-1461566.8656046893
656762.8436454019,-1461678.4668779615
656273.4539402132,-1461779.906634456
655778.7831068706,-1461850.3319739818
655281.7401157321,-1461903.6072648545
654774.8864413138,-1459951.1695242303
655265.1197781967,-1459854.9540330765
663633.8265648136,-1458384.2962431246
664128.5375062592,-1458312.0891615616
669046.4009631554,-1457422.0998457207
669538.1526952832,-1457331.7528337336
675938.9665101438,-1456234.9187340224
676431.075844016,-1456147.141081448
654981.984371751,-1458894.9804893709
655474.0840940496,-1458808.715339204
662858.0450646755,-1457514.4023746233
663349.7929826402,-1457423.9659183947
663842.7473359882,-1457340.9409683044
668764.4526239384,-1456472.9293452266
669258.1571795343,-1456394.4308881382
675657.6060719866,-1455270.4961202382
676149.0362238161,-1455179.8707140102
676078.3010400414,-1454176.682216231
675585.7080135032,-1454262.387333528
669185.7691212737,-1455395.3031589766
668692.8611425684,-1455478.9934533357
662784.0073073526,-1456508.8369515247
662291.4127134529,-1456594.3121411498
654906.2927687152,-1457888.3379933592
654418.0693201224,-1457995.8156530876
675889.7428821096,-1453174.7872772452
675399.7341264791,-1453273.614592179
674910.5864641696,-1453377.0427063135
674418.4926040003,-1453464.7510277857
673925.6904793016,-1453548.6511752266
673433.7303753672,-1453637.7993593703
672941.704488257,-1453726.5150824566
672449.3098195473,-1453812.744590703
671957.0914484814,-1453900.2939482243
671465.2116196546,-1453989.9027855203
670972.7700937663,-1454076.44913368
670479.9087612047,-1454160.4149335353
669987.9820140599,-1454249.50292319
669495.8777924689,-1454337.5994304505
669001.122087407,-1454408.3331771784
668507.8061139272,-1454487.600927564
668016.8640834494,-1454581.8936140214
667524.9581279764,-1454671.1060999495
667031.3697582887,-1454750.6747409848
666537.3680975611,-1454827.8058526395
666044.8435665722,-1454913.600997802
665553.202501367,-1455004.5653921566
665062.4223086705,-1455100.0113843086
664571.3432048359,-1455193.7482947644
664078.4331362632,-1455277.163933618
663586.2573579784,-1455364.9428522154
663094.8499519778,-1455456.902451114
662603.237510819,-1455547.643488797
662112.1155953252,-1455641.0876646023
661619.9209257264,-1455728.684185491
661126.4646784038,-1455808.1539202982
660632.9590563169,-1455887.787168012
660141.1223870665,-1455977.7180276865
659649.473091819,-1456068.65468804
659157.3023796754,-1456156.6019470813
658665.3665046019,-1456245.9186564712
658172.9387765921,-1456332.4613650565
657679.5070433101,-1456413.11172903
657186.1325944214,-1456494.1735608273
656693.1628920519,-1456577.4705560901
656201.2837529319,-1456667.1389797623
655709.9118530402,-1456759.430735439
655218.4028273638,-1456850.3351286496
654726.1032217421,-1456936.6550965817
654235.5923207668,-1457032.1261659723
653740.499722421,-1457098.000821386
676060.1404111023,-1452145.536251184
675569.3599166708,-1452240.4741342652
668678.1523980193,-1453457.6387351658
661292.8256357042,-1454743.157494714
660799.9907788547,-1454827.4197941315
654892.7225783538,-1455872.2891003822
654400.4135502606,-1455958.9024870624
654210.177187374,-1454987.4862203826
654702.7035653542,-1454901.6339194132
660113.774987006,-1453921.9036120672
660607.1174108349,-1453840.9261121203
668484.937858323,-1452464.730362703
668975.8431449534,-1452370.9157367083
675370.1740862824,-1451233.891537063
675862.9963123269,-1451150.1443822435
675520.0029619331,-1450188.0650982682
675027.7550207485,-1450275.6556103698
668633.0186850071,-1451431.3816473992
668143.0737384404,-1451530.8915417632
659772.6370826742,-1452987.3880568475
659282.3545795215,-1453085.007546095
654359.675450103,-1453950.4180738698
653867.101824282,-1454036.1301295045
653914.1906669684,-1453033.5270341982
654408.0366091362,-1452956.3137190621
658333.6819648503,-1452211.365777556
658827.6559953517,-1452134.1195268633
