x,y,ridge_diff,ridge_diff_velocity_corrected
670501.8909844878,-1465839.1296780761,288.5921742799897,308.82596227020167
670221.2315955606,-1465177.5722812545,66.21012571054212,174.54049472256224
653733.6117663266,-1446865.6060283442,223.4807817508114,285.032959522421
577681.4285911149,-1464512.545259961,183.63717080996804,237.17434735306708
668743.907740779,-1454588.1612837266,452.42756531162127,649.1722985323802
580666.2261500829,-1460070.250149337,1185.3720345414804,1339.6574348675888
661873.683919614,-1455697.763244336,573.6580064355654,455.21392125110805
686495.3352478801,-1451444.6962777185,257.38023057466467,541.1191243807575
678648.9976576656,-1442614.768863371,38.87979175886926,242.04448144327472
674308.8802809853,-1443295.9139159448,307.83524501061083,235.79647305113565
655983.3164282634,-1466813.3313145002,151.1171519637967,0.03649605364864783
669183.0612664066,-1464383.3188616317,593.9858386018066,607.0249801988393
694508.8983413392,-1460254.8767389464,133.1656725360432,384.416997503414
674579.3403336923,-1438204.0760400514,14.735696362861596,17.634238534868967
678967.9522202429,-1475257.6112837354,3.817578955603043,4.041824116483027
652669.1189391802,-1442104.2405716244,154.0041901956117,174.2282296277486
675873.6846922846,-1453034.6071598982,139.50658899487388,56.48457132816179
675035.3173226727,-1448342.1890908969,366.7765598181896,234.13050362242376
669432.4856170409,-1464663.2747950756,42.981942676444646,161.9007204703263
676564.464943156,-1458093.4057318014,349.0221560160014,196.80776655795853
670101.7424961613,-1464413.8846995393,9.50310824676319,42.928049272287126
665012.318232235,-1427399.7174905145,113.06913102134234,414.8388908504303
653598.8490670095,-1446627.5454419912,95.02568036691457,99.15885003900883
661502.0128566574,-1455747.377739102,511.77552287128526,372.54002528191324
690645.7124666988,-1455867.547653356,45.047431676115025,222.90312390797754
669366.4430370403,-1459318.1322788899,70.06904562268625,76.30152866717714
705073.3824215597,-1447963.081160922,249.6282540073497,261.07133704385944
665607.7619350329,-1460183.8380934855,587.5572144252606,463.05890491086325
657934.9767858483,-1451245.3692536736,169.06855645610597,70.40403904741095
665298.639097388,-1428051.9674019767,220.8866686570582,105.12895480792541
577654.8177255495,-1464886.441060509,0.4235495350706415,0.6278842560189446
677330.391945585,-1463193.5948804007,167.4686702176906,31.414430065389297
668260.9249968829,-1449498.4792440352,106.89159311311008,152.14442871579067
679009.6317863786,-1475630.2774919695,13.997789503877689,14.262430313652533
673431.0205149916,-1437177.5865150725,357.5798955081448,284.5886927646062
654706.3190068885,-1456970.9212808018,307.72582332583534,152.75300898112732
655317.0856285165,-1462123.569828896,256.8143872948415,186.29368717782214
653590.7014749765,-1447169.289709134,89.35828753438244,147.41852281854182
653308.4504573019,-1445974.4548790755,190.31387490443564,169.52124337393911
675928.0001216992,-1453405.6030592087,296.0273261745956,152.7982834752487
669804.2944168854,-1464615.5152425962,130.61273233914926,248.46087071803152
667545.2616559668,-1444401.1587037626,427.957446054146,416.36433917158377
682502.4184454659,-1447007.1236322997,68.83809702413947,287.91597860086847
650345.5260521681,-1442624.9870523838,175.90432272054989,320.47309396784954
678714.1709878386,-1474981.5464832387,253.23273738833038,216.31117862759726
673381.6683757035,-1438662.6767809298,212.17924308706748,165.03430238893878
666673.7497733108,-1439754.3070987693,14.399084110552451,89.25334065789252
656025.5651023688,-1467185.880473043,169.99147589114853,50.74723623842442
654356.1853799489,-1447091.615822492,202.89778951109628,208.7528796426565
667891.5701773003,-1449563.0923394868,982.2439105991335,1013.6657312658585
581343.5120303972,-1459775.5878760265,152.80876900810077,162.87869559662005
653349.8625367419,-1446347.1493008598,71.67526736108175,47.694414189681595
658182.9651120296,-1451526.656480339,142.34550376688514,31.196138065964078
673145.2151118424,-1436524.0858964836,42.62963167089981,10.205341508732644
694255.3622402833,-1459978.6338606467,118.84975145253202,394.8838686151642
653037.3460057287,-1442033.4041517456,235.59900015540796,253.51721226415188
665048.2025223777,-1427772.9921497642,307.73658989702585,152.33370267329002
654217.0401402074,-1451882.4694711014,140.62284426351624,72.11067391751084
