x,y,ridge_diff_velocity_scaled
677749.2420353355,-1463018.951995198,-4.583113425427621
677012.4864169871,-1463154.0946769326,-9.210216589374534
676270.8029528828,-1463263.0888047146,-6.657613451213354
675535.2231715269,-1463406.8506888782,-6.981112849863205
674797.7799463143,-1463541.517952061,-7.244547764685722
674059.0907091036,-1463670.4463271457,-5.923312114926903
673319.9141996929,-1463796.1912193075,-5.26553450592159
672584.0754283809,-1463940.0939096257,-6.555404155271727
671845.2632495048,-1464068.3705921045,-8.59949599208929
671104.8032566813,-1464186.6924295267,-4.939382482907419
670367.3462072843,-1464322.190619587,-4.053919524192297
669629.0974618885,-1464453.6615136175,-8.347761246371952
668891.9902001541,-1464591.7425813684,-6.259872123199049
668153.8541573529,-1464724.3545035329,3.5758236497458
667414.4724410165,-1464849.4520048338,-14.412157280332266
666674.6795805144,-1464971.9121507716,5.743892409854973
665936.4531339275,-1465103.777399251,-0.3766160413687567
665199.6523562265,-1465243.5292174625,-2.284702498785639
664461.2366574001,-1465374.4014267777,2.137294963908994
663720.9963938601,-1465494.3821967733,-2.260616853632941
662978.3929260557,-1465597.0793487076,2.399411286470639
662243.1143135413,-1465741.6637687187,2.840139933880506
661506.8033356373,-1465883.2049055554,-0.6753602594901764
660769.4935995676,-1466019.4590788467,-1.0938700013832392
660033.3675094886,-1466162.1768384466,-1.8215739066762477
659293.5627450056,-1466285.0142539411,-3.697916666666666
658555.0791181253,-1466415.6501144317,-2.0115705035962765
657817.0050289842,-1466548.765123876,-3.984494319917806
657077.1379085366,-1466671.079217187,-1.06514457998518
656336.560948065,-1466789.4537925539,-8.405817329796722
677294.0211946523,-1462086.4944148422,0.6615243617817761
669909.6098954835,-1463365.342490359,-6.110411950523
668435.6133934342,-1463638.5619621251,-3.479262997245243
655887.7337267001,-1465847.1737193936,-9.069989243007953
677166.7086191259,-1461096.8062205177,-2.059307622534547
669787.5502578875,-1462397.162240799,-9.805321555203754
668305.6554541684,-1462623.1852833072,3.393659393861281
667570.8258405556,-1462770.0116845933,-4.5287217441384
655767.5037094126,-1464896.6984790822,-5.3074155014602535
666733.013658207,-1461903.2447338447,-3.4756478179276566
667475.5803218408,-1461801.3844890026,-5.6794740190606845
669686.8661096187,-1461397.155697146,-7.7733732110936735
677067.5755019144,-1460078.981716247,-1.8903566613461642
655400.476793744,-1462875.9786987214,-10.08036162274023
666469.011336224,-1460935.6237386898,-12.261624359480699
669422.043880982,-1460410.367519774,-0.11339208660139555
676801.5393487529,-1459092.2989576948,1.3869218601343754
676780.0009728906,-1458096.9083533837,4.82631980309314
676040.4051609727,-1458221.065782199,1.3712397977773545
675302.5107756715,-1458354.2205770027,-0.8204587327360215
674569.1118205797,-1458510.0841713918,-6.46101185050545
673829.6648448885,-1458633.2316001446,1.7099332665252742
673088.7547249693,-1458749.094540959,-1.788111392825058
672351.489738424,-1458886.246391768,-5.255668904642711
671613.2673502935,-1459018.0306725798,4.150878138076835
670871.6371372204,-1459128.830487224,3.9025878746180793
670130.3417174859,-1459241.7434799229,0.1757655162473979
669387.87926837,-1459345.274269219,-0.16722380765071332
668656.1492268384,-1459505.4225270618,5.535995211632548
667928.2615706287,-1459684.8134345424,-0.6350610045097727
667190.7635652589,-1459819.54630949,3.5664904626512843
666448.1608974178,-1459924.1286473633,3.358984988817731
