x,y,ridge_diff_velocity_scaled
678117.0435391675,-1462953.9603675262,-252.4852071541174
677869.9998807099,-1462983.6215525207,-475.2760735691387
677627.1805910793,-1463042.9725380267,-77.89003607891499
677382.7441303857,-1463095.253522718,-428.0367061919465
677136.5394450851,-1463138.3414331311,-318.358446519324
676889.0335149664,-1463173.4729846602,-370.97435272922803
676641.6285775121,-1463209.3107672206,-461.9412524329083
676393.3040819581,-1463237.9856680008,-462.72668959616817
676146.5432121872,-1463277.218546642,-379.0662025838281
675901.7359398736,-1463327.8402369956,-323.85064882370943
675657.3719502649,-1463380.5388918046,-246.07287943372768
675413.6988711351,-1463436.3984075445,-276.0957456652726
675168.0859248338,-1463482.625219169,-275.02902373124607
674921.1855193867,-1463521.830486814,-293.9611827652209
674673.906417439,-1463558.50850265,-491.30219920646755
674427.941923598,-1463603.1075996102,-383.2251540789728
674182.5028017662,-1463650.6217734164,-255.40657633165736
673936.4835018028,-1463694.9050265565,-220.63278856031712
673689.4346092474,-1463733.1509089991,-187.88295398246635
673442.1516292525,-1463769.822961708,-238.1599647679261
673196.203396016,-1463814.4898687466,-217.7837461345547
672951.8671642555,-1463867.3011377759,-220.02558340123778
672707.415630397,-1463919.5217999343,-295.496061313462
672461.4605578204,-1463964.2442791716,-597.8367595841391
672215.5583610501,-1464009.3084216213,-387.9605673395143
671968.955984707,-1464050.3033691307,-565.2845216926733
671721.9422000792,-1464088.8068984759,-638.5489495355621
671474.5964521827,-1464125.0636791904,-589.6218054137984
671227.2807076307,-1464161.532451714,-584.013899263331
670981.0826977538,-1464204.8181012995,-354.6830578429008
670736.2531691581,-1464255.3554859038,-292.3723572149736
670491.0969264336,-1464304.1930587539,-420.4895925060631
670244.5213009443,-1464345.3482594506,287.6985607097646
669997.513432601,-1464383.8656742398,-643.0665443360012
669751.482522353,-1464428.145515216,-410.7573599418736
669506.2990843707,-1464476.9591833374,-212.85755097235693
669261.0948082291,-1464525.6756816762,-159.3633295848758
669015.3966522551,-1464571.8287203258,-171.1399170526197
668768.8468052369,-1464613.1329218047,-158.37060902553083
668522.6225348954,-1464656.333001667,-343.85983884991754
668276.9041009496,-1464702.369609246,-90.85962412687519
668031.0574210762,-1464747.726159122,84.55911884137188
667784.8325724909,-1464790.9892440962,-42.67901912072469
667538.1639960567,-1464831.6279065285,-28.344554221683566
667290.6743633515,-1464866.8636961184,724.8383628686267
667044.2188321666,-1464908.327172593,149.857952085042
666798.1736569338,-1464952.4994924243,49.00007023789088
666551.4865867506,-1464993.0507660785,38.212425921188355
666304.839246207,-1465033.771171991,-4.929070052819611
666059.3168132239,-1465080.8115023742,-3.489580047279759
665813.8664755594,-1465128.2136324563,82.28873158617179
665567.79000072,-1465172.3132901827,-0.5468611361038427
665322.590658761,-1465220.988911932,-91.32108873709385
665077.2126342177,-1465268.6959104084,-101.03943230345098
664831.0161312072,-1465312.1187573269,18.419175649970875
664584.3110245509,-1465352.5256500987,21.82368871446991
664337.9366561625,-1465394.926678272,99.85581023053565
664091.6828176796,-1465438.0346214129,-26.862152144148126
663845.0100013302,-1465478.6553881723,-94.75147651751826
663597.7185402205,-1465515.2581887236,-100.57626285398592
