x,y
677993.5217099388,-1462968.7909600234
677748.5902358945,-1463013.2970452737
677504.9623607324,-1463069.1130303727
677259.6417877354,-1463116.7974779247
677012.7864800256,-1463155.9072088958
676765.3310462391,-1463191.3918759404
676517.4663297352,-1463223.6482176105
676269.9236470727,-1463257.6021073214
676024.1395760305,-1463302.529391819
675779.5539450693,-1463354.1895644001
675535.5354107001,-1463408.4686496744
675290.8923979845,-1463459.5118133568
675044.6357221103,-1463502.2278529915
674797.5459684129,-1463540.1694947318
674550.9241705185,-1463580.8080511303
674305.2223626821,-1463626.8646865133
674059.4931517844,-1463672.7633999866
673812.959055525,-1463714.0279677778
673565.7931192499,-1463751.4869353536
673319.1775126343,-1463792.156415227
673074.0352801357,-1463840.8955032611
672829.6413973263,-1463893.4114688549
672584.4380941088,-1463941.883039553
672338.5094594354,-1463986.7763503965
672092.2571728786,-1464029.805895376
671845.4490923932,-1464069.5551338033
671598.2693261311,-1464106.9352888332
671350.9385799067,-1464143.2980654521
671104.1817026921,-1464183.1752765067
670858.6679334559,-1464230.0867936015
670613.6750477958,-1464279.774272329
670367.809113689,-1464324.7706591021
670121.0173667726,-1464364.6069668455
669874.4979774769,-1464406.005594728
669628.8908033619,-1464452.552349277
669383.6969463,-1464501.3174325067
669138.2457302421,-1464548.7522010012
668892.121728746,-1464592.4808210654
668645.7346700663,-1464634.7329617357
668399.7633179226,-1464679.3513054564
668153.9807610129,-1464725.047884184
667907.9449967836,-1464769.3577016091
667661.4982842739,-1464811.3085753121
667414.419179704,-1464849.2458013233
667167.4465977593,-1464887.5954343558
666921.1962445502,-1464930.4133325086
666674.830121842,-1464972.7751292514
666428.1629164788,-1465013.4109690348
666182.0780297155,-1465057.2913371825
665936.5916443918,-1465104.5125674151
665690.8282381396,-1465150.2634613195
665445.1903297405,-1465196.6511010572
665199.9016464894,-1465244.8424111702
664954.1143827124,-1465290.4073338676
664707.663577879,-1465332.3222037128
664461.1238403568,-1465373.7261641852
664214.8097369211,-1465416.4806498424
