x:,y,ridge_diff,ridge_diff_velocity_corrected
669225.0210554401,-1453281.9714419683,6.7680210099644,40.17292612146866
659476.889033915,-1442802.0079477816,323.7879492149386,311.54290318824957
657675.9589866265,-1444117.6147410525,85.10169984741864,86.14489758421396
661529.4963376455,-1465712.0605353154,378.5723335380429,400.84962216664314
663412.2842679637,-1443065.1680269672,67.31184734245068,57.38587003132102
664770.257942511,-1449048.7225062095,194.81397124065057,255.30712541397958
658555.7685990743,-1449351.584526305,292.1773712759476,275.02142569594974
660241.0892405724,-1453732.013345839,234.44210884863134,295.4534253348149
664515.5790135713,-1442888.8661195515,187.42106095343718,194.2033072796899
661688.3469085298,-1444474.6941516162,13.861793582324822,9.382845345459373
661485.5416782894,-1443377.9017007975,5.978388974071095,0.4004378098316579
668015.2679180934,-1462875.7342128484,70.31086814320972,64.01540878925093
665579.0525127363,-1460206.4896895192,60.625895247680035,33.891693674987835
661089.0439291408,-1450686.184528545,30.505976465893895,39.285705411567704
666879.6185678451,-1460784.1204772159,83.52194405719291,145.36247557506022
669968.7237166609,-1457384.6314338637,134.51966165830888,108.24963620502734
668322.5272111678,-1451610.244926364,99.24006941952587,129.46477289522028
659097.7647058885,-1442043.5594627603,137.64531728011582,77.74287017003576
659976.3472368807,-1452134.8020095318,97.99315069048271,177.28578308497242
669814.6524083163,-1449140.2887345944,85.50617571089506,89.90966964634282
670443.3559110616,-1442972.4416117836,17.096328013980013,33.0762534369908
671980.1234301243,-1449718.3688886494,2.798718344924623,44.348022570720104
667568.4908699058,-1442602.7437844407,7.754811920255918,3.879848759982565
662957.6000255465,-1457436.809229582,156.99781399539347,271.84846776638705
664227.9585391564,-1447177.9456045614,174.84963616346522,207.7327350945266
667965.1675779638,-1451360.0481030536,56.59141081277147,85.74989796023499
670228.3530939833,-1457024.7214009278,45.63209674462823,10.682486063121303
671706.3878520895,-1455984.645478345,14.261621724238964,37.23056265036624
666459.1205015946,-1446733.002172282,124.15367771010224,142.10247101074316
668378.9937270881,-1463644.94014999,28.844693997531554,26.11195857549165
674033.5840099216,-1461832.0527383836,142.37850444264484,282.63478162549586
661183.3448504298,-1464128.0981585812,510.9383823278358,486.3193799457837
658280.5452442549,-1441132.5323086064,196.13124535712373,188.701153017285
668558.3824502267,-1448317.9890536377,209.85481921402064,208.0814823055339
664566.3607971374,-1465348.9649259457,322.03043981783685,430.66837174410387
664734.9701845779,-1443978.9592379062,52.45848050228584,35.59203673697502
669665.4838793614,-1448027.0392890256,221.21499525122152,301.0597714418721
661633.9147713861,-1461674.5263659195,185.80753016857977,444.144896132898
665371.4424404465,-1465285.2631502305,326.0005099641963,326.2185293086965
669138.0889449962,-1457351.825040277,177.15401241243478,162.5295797290628
664190.4614937091,-1463432.022166053,70.60587486135273,47.58385755054701
671634.8950104315,-1454847.7201862996,179.83727082970017,143.30022203787286
668842.5253780633,-1461534.274015375,163.86718672932636,178.97948353943235
666741.9627667802,-1442566.2374662524,29.06169122884853,29.83623648671113
664528.7911896094,-1447946.6491507622,64.19622338693408,45.28366290416167
669407.0699548102,-1448384.6637887303,199.48422713976652,248.11560293078605
666631.53404628,-1437674.0064309915,57.57307542151102,51.52452990838759
661818.4715640983,-1456779.4234344119,2.7335930352127775,86.03426979217375
668357.2251652889,-1464483.6237565973,151.33981279731898,168.395548613373
669389.083861602,-1459570.5444548507,207.07203890428258,204.5413124491092
670009.9191137062,-1444971.6396117695,236.10831423512326,191.0996976450785
665357.0728748085,-1464141.0123766365,135.6324834084706,151.84233445755984
666776.2925591904,-1456878.3621117882,135.06220572818694,145.84444524336251
668593.9422974635,-1459596.5980629104,44.29470899280096,84.86369233972613
667116.89161016,-1441527.006817555,119.06455057441968,130.40008954354113
