x,y
678117.0435391675,-1462953.9603675262
677869.9998807099,-1462983.6215525207
677627.1805910793,-1463042.9725380267
677382.7441303857,-1463095.253522718
677136.5394450851,-1463138.3414331311
676889.0335149664,-1463173.4729846602
676641.6285775121,-1463209.3107672206
676393.3040819581,-1463237.9856680008
676146.5432121872,-1463277.218546642
675901.7359398736,-1463327.8402369956
675657.3719502649,-1463380.5388918046
675413.6988711351,-1463436.3984075445
675168.0859248338,-1463482.625219169
674921.1855193867,-1463521.830486814
674673.906417439,-1463558.50850265
674427.941923598,-1463603.1075996102
674182.5028017662,-1463650.6217734164
673936.4835018028,-1463694.9050265565
673689.4346092474,-1463733.1509089991
673442.1516292525,-1463769.822961708
673196.203396016,-1463814.4898687466
672951.8671642555,-1463867.3011377759
672707.415630397,-1463919.5217999343
672461.4605578204,-1463964.2442791716
672215.5583610501,-1464009.3084216213
671968.955984707,-1464050.3033691307
671721.9422000792,-1464088.8068984759
671474.5964521827,-1464125.0636791904
671227.2807076307,-1464161.532451714
670981.0826977538,-1464204.8181012995
670736.2531691581,-1464255.3554859038
670491.0969264336,-1464304.1930587539
670244.5213009443,-1464345.3482594506
669997.513432601,-1464383.8656742398
669751.482522353,-1464428.145515216
669506.2990843707,-1464476.9591833374
669261.0948082291,-1464525.6756816762
669015.3966522551,-1464571.8287203258
668768.8468052369,-1464613.1329218047
668522.6225348954,-1464656.333001667
668276.9041009496,-1464702.369609246
668031.0574210762,-1464747.726159122
667784.8325724909,-1464790.9892440962
667538.1639960567,-1464831.6279065285
667290.6743633515,-1464866.8636961184
667044.2188321666,-1464908.327172593
666798.1736569338,-1464952.4994924243
666551.4865867506,-1464993.0507660785
666304.839246207,-1465033.771171991
666059.3168132239,-1465080.8115023742
665813.8664755594,-1465128.2136324563
665567.79000072,-1465172.3132901827
665322.590658761,-1465220.988911932
665077.2126342177,-1465268.6959104084
664831.0161312072,-1465312.1187573269
664584.3110245509,-1465352.5256500987
664337.9366561625,-1465394.926678272
664091.6828176796,-1465438.0346214129
663845.0100013302,-1465478.6553881723
663597.7185402205,-1465515.2581887236
663349.5742162102,-1465545.5805887845
663101.138517789,-1465573.4358472056
662853.7706695484,-1465609.1958879624
662609.0883006752,-1465660.105070879
662365.8145879739,-1465717.6704265617
662121.2502659059,-1465769.4487309335
661876.3040996105,-1465819.4308465004
661630.3392429018,-1465864.1026826925
661383.6799662395,-1465904.766050114
661136.8900337977,-1465944.520042914
660891.915979131,-1465994.2584462764
660646.8759914999,-1466043.716139246
660402.2923938413,-1466095.34168695
660157.008907915,-1466143.5026062091
659910.4458257427,-1466184.7793478956
659663.7229104551,-1466225.0837127308
659416.712984278,-1466263.6266163238
659169.9046648337,-1466303.4071053262
658923.9104204559,-1466347.9395813837
658678.0367386983,-1466393.168289553
658432.281668247,-1466439.0348152684
658186.0876450998,-1466482.4577715225
657940.0433904674,-1466526.7264766297
657694.0798946344,-1466571.4619200348
657447.8091857353,-1466614.414327318
657200.4896354855,-1466650.8359703752
656953.4405334574,-1466689.0781890526
656706.8122794682,-1466729.9883820019
656460.0074169642,-1466769.817899533
656213.1869425821,-1466809.5514767978
655966.2371532457,-1466848.4574118836
655720.3857610795,-1466893.605987707
655474.2814794311,-1466936.9009360776
677417.8198853426,-1462069.1755749725
677170.2439063084,-1462103.8877496133
676922.9529976118,-1462140.5780434874
676675.7974021852,-1462178.1729943452
670530.2916730448,-1463298.4227127058
670281.1306458202,-1463318.6399327049
670032.0184663091,-1463339.2410609226
669784.7459388558,-1463375.0899811606
669051.331957144,-1463531.3636514002
668805.2437786366,-1463575.403251266
668558.9277263796,-1463618.1326889098
668312.4416096372,-1463659.8696121646
668065.8404590831,-1463700.8422961596
656256.266012344,-1465779.0978853956
656009.3583480897,-1465817.6456413737
655764.9002162676,-1465869.884755472
655520.410330099,-1465922.0665953334
677288.869307867,-1461070.3105327897
677044.2595234752,-1461121.9116557506
676799.8294429799,-1461174.3434334302
676555.3335966497,-1461226.3093667112
670398.570028991,-1462267.729883372
670154.0855998546,-1462319.8602766423
669911.1406847272,-1462378.7613717094
669666.4780156501,-1462429.5339790115
668181.2782670315,-1462636.962891626
667936.3390046804,-1462686.7350548124
667693.394663475,-1462745.6221507418
667449.6266540174,-1462800.7297058988
656136.5132688226,-1464831.0905227002
655890.7859439168,-1464877.0428974866
655645.2110519184,-1464923.7628246713
655397.504572993,-1464954.8976714702
656020.1096656265,-1463748.240466554
666608.7583241954,-1461916.7797700537
666857.4507338214,-1461891.4659722445
667105.6684929492,-1461861.6856180737
667353.3806855147,-1461828.1557418243
667599.3850439587,-1461783.9027721905
669565.1950533844,-1461426.170897007
669810.213291419,-1461376.690805952
670053.6062660139,-1461319.633484517
676454.2016176613,-1460198.2310394375
676699.28587356,-1460148.9224752588
676943.8484768857,-1460097.1157766224
677190.0645629015,-1460054.1139345912
655277.9044153424,-1462900.365241858
655522.8027026244,-1462850.2755892822
655769.1744576232,-1462807.9325853123
665855.0995275255,-1461052.4896609862
666100.9324172179,-1461007.0967165756
666346.8445338638,-1460962.1425534652
666591.5095602405,-1460910.845972291
666836.758833574,-1460862.4097124285
669298.4574537814,-1460429.2670808544
669545.1296611932,-1460388.6480594187
669791.868748406,-1460348.4179331847
670038.2599129428,-1460306.1066117396
676431.2525472577,-1459150.5459149813
676677.2731281917,-1459106.6977329846
676925.0443995103,-1459073.4441879604
677172.5873200516,-1459038.507994853
677149.2552627646,-1458031.6725514315
676903.3221054066,-1458076.442991377
676656.7918121738,-1458117.9381987085
676410.6347112171,-1458161.5796720176
676163.7885540765,-1458201.0503817329
675916.8616212738,-1458240.063411415
675670.3357573234,-1458281.5696636296
675424.5708430557,-1458327.3157147532
675179.3474867198,-1458375.8373510567
674935.7890155874,-1458432.1595785718
674692.3359804319,-1458488.9717924988
674447.4645666019,-1458539.1700746384
674200.857719698,-1458580.0352398579
673953.2629011011,-1458614.5600671603
673706.0033674163,-1458651.4343346914
673458.5353913384,-1458686.896758869
673211.7039941838,-1458726.5139177442
672965.2850181271,-1458768.6566109848
672719.4944962279,-1458814.3108762372
672474.4313133535,-1458863.66870711
