x,y
677871.4080036522,-1462993.5181526912
677504.569120696,-1463067.2778985116
677136.1056968123,-1463135.6893135032
676765.2365548792,-1463190.638390573
676393.8252905526,-1463241.5049939544
676024.3435640456,-1463303.6341459593
675657.602253758,-1463381.592512115
675290.505974508,-1463457.5361886679
674921.0592872199,-1463520.9880695445
674551.1450719547,-1463582.1207218908
674182.3094090556,-1463649.5447998613
673812.8156523453,-1463713.1346785373
673442.5965448386,-1463772.487913151
673074.2327338444,-1463841.861739473
672706.9144508244,-1463917.0224056272
672338.4656572826,-1463986.5229585469
671968.8188486121,-1464049.4728964095
671598.208919811,-1464106.5330310173
671227.6532858558,-1464163.804744068
670858.8086242268,-1464230.8173831743
670490.6237988453,-1464301.6322680358
670121.0860212533,-1464365.0074342417
669751.7650131083,-1464429.656790931
669383.6280465871,-1464500.9651726903
669015.1127552404,-1464570.2124412693
668645.8761351586,-1464635.5369063679
668276.861352307,-1464702.1429233449
667907.8488829492,-1464768.8147381651
667537.890310633,-1464829.8269489142
667167.6764029264,-1464889.015671417
666797.9596919504,-1464951.2924770317
666428.2882151322,-1465014.1147952913
666059.3408449967,-1465080.932102274
665690.8504213659,-1465150.3802205115
665322.5310978995,-1465220.6660375076
664953.9774207146,-1465289.638665387
664584.4212706402,-1465353.190361899
664214.7735238665,-1465416.2669070351
663844.8037864101,-1465477.316066103
663473.506353242,-1465529.3271925852
663101.4944678491,-1465576.0707746507
662731.9283817193,-1465637.2297503229
662365.3843848517,-1465715.7414094582
661998.6488334864,-1465793.7772420133
661630.1077695838,-1465862.766526436
661260.4846172547,-1465925.7397205925
660891.8940014762,-1465994.1648761458
660524.6246413998,-1466069.7291246771
660156.5823758331,-1466141.2078803517
659787.0370221458,-1466204.6373536873
659416.7801865222,-1466264.0391447938
659047.0177339042,-1466326.315345877
658678.0762758004,-1466393.3808954016
658309.1358537398,-1466460.4767229583
657940.0703100672,-1466526.8820560623
657570.7862994884,-1466591.9656651455
657200.5797848927,-1466651.4428289153
656830.1449150963,-1466709.6501430296
656460.0022130047,-1466769.7859194442
656089.7964120188,-1466829.4781486364
655720.3014645855,-1466892.9881118895
677417.7105936657,-1462068.466538627
677046.6519550116,-1462122.5979631906
676675.8572279556,-1462178.544697071
670405.6618034466,-1463307.9369939608
670032.6316836616,-1463344.3236582628
669663.0242994184,-1463403.78261575
668928.2031542918,-1463552.9282938007
668558.8710382179,-1463617.8018507801
668189.0830562843,-1463679.9946714947
