x:,y,ridge_diff,ridge_diff_velocity_corrected
669225.0210554401,-1453281.9714419683,0.08888259635219597,0.8064596317874262
659476.889033915,-1442802.0079477816,10.221498580502857,9.925596280649666
657675.9589866265,-1444117.6147410525,2.07392724821797,2.106272315351621
661529.4963376455,-1465712.0605353154,9.391927681215664,10.049524238546624
663412.2842679637,-1443065.1680269672,1.8072794591613714,1.5471411750418351
664770.257942511,-1449048.7225062095,3.347911129266155,5.137367045773457
658555.7685990743,-1449351.584526305,7.406883029349898,6.994660938556309
660241.0892405724,-1453732.013345839,3.6738139825575455,4.98511008738261
664515.5790135713,-1442888.8661195515,4.888542799370931,5.066195503224311
661688.3469085298,-1444474.6941516162,0.9777085598741877,0.8365452743847266
661485.5416782894,-1443377.9017007975,0.3259028532913959,0.49257648533722076
668015.2679180934,-1462875.7342128484,2.0739272482179683,1.8906367341424668
665579.0525127363,-1460206.4896895192,1.5406316701047782,0.792378876797752
661089.0439291408,-1450686.184528545,0.23702025693919282,0.420204327130409
666879.6185678451,-1460784.1204772159,0.7110607708175909,2.3670185449442176
669968.7237166609,-1457384.6314338637,3.6145589183227513,2.911318442071531
668322.5272111678,-1451610.244926364,2.2220649088049704,3.037366541857833
659097.7647058885,-1442043.5594627603,5.510720973836322,3.8957986722932736
659976.3472368807,-1452134.8020095318,0.26664778905659503,2.1147265576972174
669814.6524083163,-1449140.2887345944,1.8072794591613768,1.8979086618518037
670443.3559110616,-1442972.4416117836,0.1777651927043964,0.6358004145319014
671980.1234301243,-1449718.3688886494,0.4147854496435919,1.5465166439566431
667568.4908699058,-1442602.7437844407,0.08888259635219953,0.015247292870930629
662957.6000255465,-1457436.809229582,1.096218688343784,3.753594256061538
664227.9585391564,-1447177.9456045614,4.503384881844738,5.352615901579821
667965.1675779638,-1451360.0481030536,1.0962186883437877,1.8830469935884206
670228.3530939833,-1457024.7214009278,1.2443563489307836,0.3101864398342151
671706.3878520895,-1455984.645478345,0.14813766058699995,0.4259087143204936
666459.1205015946,-1446733.002172282,2.6664778905659636,3.0744382883229244
668378.9937270881,-1463644.94014999,0.8295708992871853,0.7532681224432202
674033.5840099216,-1461832.0527383836,2.162809844570166,6.194906446913317
661183.3448504298,-1464128.0981585812,13.717547370356005,13.059981544385936
658280.5452442549,-1441132.5323086064,5.45146590960152,5.248752297611889
668558.3824502267,-1448317.9890536377,4.888542799370931,4.866666666666668
664566.3607971374,-1465348.9649259457,5.9847614877147155,8.577185259468084
664734.9701845779,-1443978.9592379062,1.8369069912787732,1.340523346590797
669665.4838793614,-1448027.0392890256,4.799660203018727,6.916580148637662
661633.9147713861,-1461674.5263659195,0.05925506423479732,6.345212188469819
665371.4424404465,-1465285.2631502305,8.236453928637088,8.271316969653572
669138.0889449962,-1457351.825040277,4.444129817609939,4.063017071339644
664190.4614937091,-1463432.022166053,5.629231102305923,2.7319676531190265
671634.8950104315,-1454847.7201862996,5.836623827127716,4.800029018172964
668842.5253780633,-1461534.274015375,3.555303854087951,3.9207680802213485
666741.9627667802,-1442566.2374662524,0.7406883029349922,0.7604281084805766
664528.7911896094,-1447946.6491507622,2.1628098445701696,1.6636916759054916
669407.0699548102,-1448384.6637887303,3.525676321970547,4.835080004509491
666631.53404628,-1437674.0064309915,0.6221781744653914,0.4772562332559911
661818.4715640983,-1456779.4234344119,2.784988019035559,0.4718831676490467
668357.2251652889,-1464483.6237565973,3.999716835848939,4.463173478286552
669389.083861602,-1459570.5444548507,4.8885427993709305,4.81778484545775
670009.9191137062,-1444971.6396117695,7.406883029349893,6.282982529458921
665357.0728748085,-1464141.0123766365,3.1997734686791546,3.657282502649137
666776.2925591904,-1456878.3621117882,3.170145936561756,3.4672523357817013
668593.9422974635,-1459596.5980629104,0.3555303854087981,0.7428526618150713
667116.89161016,-1441527.006817555,3.1405184044443573,3.443245907025135
666981.1406885835,-1440428.6579794004,0.23702025693919548,0.6664927406443075
657737.7243618264,-1444423.8451410527,1.748024394926575,1.6336744850611291
661589.4732356456,-1466018.6056853156,9.332672616980863,10.405898998361067
673282.3712997495,-1462719.4543873663,2.755360486918164,4.655122078152864
672249.9502430102,-1452797.7564971065,3.0812633402095564,3.613735787607041
666154.4814809596,-1458118.004193566,12.799093874716622,12.940207563245405
661535.2358562895,-1443686.2691007974,1.9257895876309714,2.4165789685992483
665357.5746985707,-1446986.6528517047,1.2147288168133823,0.8521683397289932
667966.5312456934,-1462567.1079628484,1.4813766058699742,1.2607678506558346
667604.5564961925,-1464919.1460115109,19.317150940544522,17.019443804086716
667784.9688332544,-1448594.931725542,6.192154212536513,6.978748241024282
669226.587732109,-1445309.5697926916,3.2294010007965532,2.2134283015759886
661393.35115459,-1442588.9822390336,2.9627532117399564,2.249986851574736
661251.437998835,-1441458.9660978431,8.651239378280682,7.653480833888871
665735.6530319612,-1453954.3890975378,9.480810277567866,10.01135269387947
667220.8995587635,-1457625.360514835,5.629231102305921,5.930209608402267
670276.9617651833,-1457333.3982509277,4.444129817609937,3.959441397894998
673241.8701559114,-1463570.0568177672,9.925223259328858,15.817019686005278
658211.4860057466,-1447154.837941097,3.3479111292661514,2.8406667662046106
661608.6523076508,-1455684.736412877,5.955133955597317,9.68975000679288
668437.3731235443,-1453557.2451989679,4.829287735136132,5.009404085203769
670287.0533253142,-1463383.7412191841,5.125563056310121,7.385940787600315
662990.2066561144,-1450471.862997578,4.533012413962135,4.284661183638018
667880.6148271293,-1456634.9209277462,5.481093441718924,4.565564926354666
661362.238217284,-1453740.4669818117,5.421838377484123,3.752315227116595
671073.8048030366,-1463119.9087363973,6.6365671942975055,9.084041270607887
671036.791536998,-1461133.379686311,3.614558918322743,3.288938845331149
663644.7374226111,-1438274.9935069396,4.414502285492536,3.9807469476714825
666207.8068155025,-1440692.6676244023,5.54034850595372,4.4386132895626105
670075.5789112389,-1452192.489760526,7.051352643941101,10.881652948265923
662494.3083417872,-1453566.196305461,0.8591984314045913,0.018676154618987972
659885.9468980925,-1445814.5617221957,3.7923241110271437,2.159404204833213
671818.0807668082,-1450919.4496442515,5.095935524192729,4.033502580166083
666170.0714027183,-1465184.2358406694,0.23702025693919637,0.4668484396198487
671237.4489591582,-1452111.7059893915,0.20739272482179416,2.0371556662824624
669005.561063946,-1456561.0780414217,8.59198431404588,8.63802141268034
661963.0323910863,-1452507.3340174225,1.4221215416351836,0.9449884230093764
669210.9827872987,-1464587.797450881,5.658858634423318,5.4303174736597235
667639.5833176718,-1453574.566365048,1.4517490737525822,1.1126889787924483
666344.4310369045,-1441812.1759011205,28.97572641081679,28.346393380263084
669957.1829548046,-1461467.5971854972,6.518057065827906,6.739698267957836
672113.8673379545,-1461996.6010578088,2.0739272482179736,5.15178425495241
662512.0247025043,-1442424.6351865241,1.6887693306917768,2.2462090123327485
665464.7088991625,-1461056.1948624784,2.725732954800762,3.539108955867901
662389.7938047713,-1441285.59978382,12.265798296603426,11.18678821525544
659709.0578230228,-1451047.5974024646,2.5183402299789646,3.0131052831464578
660790.4523060533,-1455617.294566851,0.47404051387839274,2.4598471035198752
665510.8232449249,-1441842.6018195564,0.799943367169789,0.7596405302012622
666737.3883319792,-1450614.7837680453,1.5998867343395773,2.3007882560741058
668785.1534804353,-1460398.6628610897,2.547967762096361,3.8569948798726728
661867.2135856025,-1451722.4483117177,2.192437376687568,1.6682863638201724
663988.4879797929,-1440997.947196345,5.184818120544925,4.692277922053487
660423.2000057779,-1443806.6605711384,7.377255497232497,8.758316779075837
659658.3495278696,-1449071.1210189592,0.9184534956393868,3.4344772650167963
667038.1833353835,-1440735.8663794002,1.1258462204611854,2.6799178675879487
670003.0757288003,-1439942.4518139837,0.2073927248217995,1.442692105789213
662102.4314665669,-1446695.4851967925,2.19243737668757,2.2251431904398915
661192.7279433229,-1452926.454014266,3.0220082759747555,1.6566633581229455
660590.2021501753,-1442654.4405872214,0.23702025693919992,3.515328540851236
662504.4877455563,-1444378.1504085225,3.821951643144547,4.129344654921619
666102.0176561596,-1457810.4135435661,4.20710956067074,4.039727843632649
667219.0048710469,-1463010.9740486483,2.3998301015093695,4.709181503420032
665011.3113108075,-1462228.7478556857,0.29627532117399724,1.343877853730973
667869.9111622954,-1450540.1296154186,2.0442997161005696,2.4610987534598436
660261.5713773381,-1458058.2206403068,3.170145936561756,5.717914037821892
671529.0764887225,-1460120.96625754,0.8888259635219846,1.403187511619178
666322.5285163617,-1453036.2250972788,2.4294576336267646,2.931460755179552
663897.1779719405,-1461520.535801238,1.2739838810481814,3.911947144680177
672636.6516490874,-1460052.840007654,1.481376605869979,3.173722129505437
663175.7024322345,-1464724.7991906526,2.459085165744167,5.468765248492385
671595.813592579,-1447848.1995951366,6.103271616184314,6.2457599813035545
663356.4667494075,-1460480.5952725026,0.29627532117399724,5.2465439100603355
662812.4635723978,-1444325.4295403364,1.7480243949265755,1.1910040714004988
660204.98911731,-1441889.2928508595,8.147571332284885,5.170580150048679
672888.2472441827,-1461665.3758450742,2.577595294213765,4.616060607097118
665494.9124657009,-1437707.9298772453,11.37697233308144,12.503100466837246
662911.7810868607,-1440359.5352502111,5.273700716897125,5.707564387517115
672492.738860154,-1463893.802550725,5.569976038071118,9.595055504735964
667367.0867431273,-1452471.715047062,0.02962753211740221,1.2231763223128702
664022.6404251119,-1440169.9411379443,8.858632103102474,8.272398658036876
666675.1227923342,-1444508.8544558536,4.325619689140339,4.186954288649205
659015.7467997689,-1444952.359049057,2.9034981475051636,2.6214313128075792
671126.9285002366,-1463427.6622363972,7.614275754171693,8.633555614426292
663582.042297811,-1437968.8715069396,4.740405138783933,4.16900584372417
