x,y,ridge_diff,ridge_diff_velocity_corrected
670423.0338566779,-1465742.4741652494,5.3167216324728965,2.4401008827238346
655997.2709189255,-1466937.0772815142,4.469128328745327,0.01571399876719326
666936.6517078301,-1439841.1321261125,1.4897094429151139,0.48865330010222685
657895.176280505,-1451364.143753693,3.4160578604777534,0.100046134363307
704804.5427396722,-1448069.4049098853,9.631742087813219,10.871787020089434
682502.9639051512,-1447005.0247551042,3.107842113667731,5.506910965539786
673225.7943696624,-1436617.8942298465,1.7722405441576319,0.4971329409991947
677453.4480787991,-1463172.9073881847,3.904066126260293,2.0678876991141664
665143.7274603585,-1427990.3082169094,0.5907468480525454,0.84601172751528
669762.4003559935,-1464725.3464728934,1.2328629872400896,4.3725586057846755
577921.766391731,-1464632.094068632,3.4160578604777534,4.003516457594864
581360.8793747982,-1459819.1824184903,7.140331467765534,7.989805995127174
668759.9876365974,-1454712.3743185108,5.470829505877912,9.24431388709083
653322.4417799616,-1446098.4350737485,6.189999581767964,5.442747438277802
674197.7093380133,-1443439.645174084,5.984522417227945,3.409432046857564
674787.447710336,-1448385.7887723432,11.40398263197085,7.031135926852553
654829.1882185849,-1456952.0919596073,7.088962176630533,2.7289487597627655
694508.2746697736,-1460254.4809270066,5.008505885662874,4.4250590848304725
653988.7823912285,-1452051.920183558,16.489542454336227,12.413758522060222
675665.4989871233,-1453332.9181847074,7.628339733548069,2.815843325537916
653038.6856042974,-1442034.1641564849,0.07705393670250793,0.11971813275657944
676339.0350283533,-1458261.967111318,5.522198797012914,0.9914392328693289
678968.2407290407,-1475257.3771975008,1.695186607455128,1.6643803174854368
673733.412718524,-1438466.2122303871,6.600953910847993,5.513166118890415
686495.0194020879,-1451443.941074248,3.082157468100224,7.97556380002449
654188.6336951389,-1446906.8070426537,9.349210986570695,7.69332288813159
667352.9788458415,-1444831.3886269992,5.624937379282921,5.721210386567096
655424.1029913642,-1461975.7994528715,7.962240125925591,5.661539361086381
661832.681081997,-1455807.8646360962,18.056305833953843,14.248255439251096
690769.4335709726,-1455848.216707371,11.070082239593328,0.09332002257359484
673612.7600187907,-1437487.128498615,2.645518493452702,0.6517236753537983
650173.8638217975,-1442443.1083674477,3.518796442747764,0.791723435466718
653451.6971348001,-1447061.8457048123,3.518796442747764,5.283818921557591
674702.183459024,-1438183.1463875282,15.025517656988622,16.74564333456668
