x,y
677749.2420353355,-1463018.951995198
677258.874420379,-1463112.5101196342
676765.1264048804,-1463189.7777132532
676270.8029528828,-1463263.0888047146
675779.8374933653,-1463355.4990207467
675290.0855664051,-1463455.348251333
674797.7799463143,-1463541.517952061
674305.2086611514,-1463626.7857255582
673812.6431355173,-1463712.12516767
673319.9141996929,-1463796.1912193075
672829.2366871223,-1463891.3892714072
672338.3476334937,-1463985.8444674644
671845.2632495048,-1464068.3705921045
671351.2255144116,-1464145.0552826698
670858.9283752439,-1464231.474774418
670367.3462072843,-1464322.190619587
669874.9540850673,-1464408.5796580613
669383.568266802,-1464500.6522751388
668891.9902001541,-1464591.7425813684
668399.8577155395,-1464679.8904229598
667907.7395226433,-1464768.178229748
667414.4724410165,-1464849.4520048338
666921.1383598006,-1464930.1852818036
666428.4540757787,-1465015.033233217
665936.4531339275,-1465103.777399251
665445.3649423146,-1465197.552936245
664953.7826121843,-1465288.5823074416
664461.2366574001,-1465374.4014267777
663968.0870038483,-1465456.7187191453
663473.3603188875,-1465528.2325032216
662978.3929260557,-1465597.0793487076
662487.4809560259,-1465689.1050290843
661998.4270490981,-1465792.6631716718
661506.8033356373,-1465883.2049055554
661014.8404926669,-1465971.8151696378
660524.5233180969,-1466069.2047196703
660033.3675094886,-1466162.1768384466
659540.1965963274,-1466244.224195569
659047.1412020664,-1466327.0353981466
658555.0791181253,-1466415.6501144317
658063.1231496122,-1466504.920245864
657570.6055265806,-1466590.8596735892
657077.1379085366,-1466671.079217187
656583.361793118,-1466749.6089868464
656089.9543184679,-1466830.3581939803
677294.0211946523,-1462086.4944148422
676799.4538975438,-1462159.8804602064
670405.5664033663,-1463307.1118691212
669909.6098954835,-1463365.342490359
668928.0223185922,-1463551.9736150862
668435.6133934342,-1463638.5619621251
656133.6726682245,-1465803.3619554439
677411.7897639393,-1461047.6705650382
676922.0729677429,-1461148.2187471704
670032.5685823057,-1462348.9713776836
669541.5930128978,-1462439.6873433182
668059.9508967291,-1462667.9108556462
667570.8258405556,-1462770.0116845933
655767.5037094126,-1464896.6984790822
666733.013658207,-1461903.2447338447
667228.971239061,-1461841.3025260835
669686.8661096187,-1461397.155697146
670176.4721176653,-1461296.786739491
676576.5370117485,-1460172.5679903412
677067.5755019144,-1460078.981716247
655154.4965068357,-1462920.3372579208
655646.6885877652,-1462833.2472957787
665977.9111781626,-1461029.176429592
666469.011336224,-1460935.6237386898
669422.043880982,-1460410.367519774
669914.897519265,-1460326.2888784858
676309.0653872842,-1459177.146277829
676801.5393487529,-1459092.2989576948
676780.0009728906,-1458096.9083533837
676287.0191746854,-1458180.1579159684
675793.8891939323,-1458262.4997928827
675302.5107756715,-1458354.2205770027
674813.7342623353,-1458459.0346991916
674323.4802919582,-1458555.684293539
673829.6648448885,-1458633.2316001446
673335.3819427663,-1458708.3754055724
672842.728705473,-1458793.287528019
672351.489738424,-1458886.246391768
671859.8307668128,-1458976.974381412
671366.258767567,-1459056.187298739
670871.6371372204,-1459128.830487224
670377.6299942959,-1459205.582082036
669882.7054221359,-1459275.4232696267
669387.87926837,-1459345.274269219
668898.5058369724,-1459444.6216130469
668414.2606481318,-1459568.3916630235
667928.2615706287,-1459684.8134345424
667437.4304532249,-1459779.1894677186
666943.5365282714,-1459856.4775607907
666448.1608974178,-1459924.1286473633
665954.2327390152,-1460000.0832124
665464.2882574121,-1460098.394388853
664975.8046229468,-1460204.9324048876
664485.5238016963,-1460302.571197185
663992.655478987,-1460385.771523293
663499.0846848517,-1460465.2177726456
663005.2760611097,-1460542.7236342854
662508.4912022193,-1460592.6138767877
662009.2919744035,-1460606.751480138
661512.0844640568,-1460637.8147095207
661022.4223929449,-1460730.2377894334
660543.4915543953,-1460871.4878273674
660069.6484939337,-1461030.6986933728
659589.8497184969,-1461168.8411183455
659100.4244990697,-1461267.3608180746
658606.6853769916,-1461345.5928890314
658112.3403669286,-1461420.2476979152
657618.5415148227,-1461497.852912268
657128.441236188,-1461595.2744361868
656640.635283295,-1461704.6281082386
656149.8345100665,-1461797.9646255171
655654.4204657197,-1461862.7969497629
655158.2890204958,-1461922.661903391
654897.327115319,-1459926.3906236796
655388.8194245329,-1459837.119067051
663757.5065597751,-1458366.261659078
664252.3565006884,-1458294.9830509096
669169.34717221,-1457399.55695264
669661.3130102957,-1457310.431282332
676062.0569361206,-1456213.3053936786
654615.2805640739,-1458972.5342088223
655105.0685746574,-1458873.8150724873
662980.9764365541,-1457491.76168071
663472.9913387455,-1457402.93960224
668887.9380042822,-1456453.6816678771
669381.382838545,-1456373.4842318005
675780.5535359764,-1455248.307773044
676271.6323094314,-1455155.6664376939
675955.1487729709,-1454198.0853312497
675462.554958631,-1454283.784094132
669062.5761021515,-1455416.4360768604
668569.2653397307,-1455497.6301050468
662660.8935808444,-1456530.396485058
662168.338024222,-1456616.1432405377
655274.6248063182,-1457818.3472428413
654784.3269470189,-1457915.6460852646
675767.2087389713,-1453199.3451118967
675277.5254111451,-1453299.8547832053
674787.5952038174,-1453399.1726722384
674295.3103808155,-1453485.8171697033
