x,y,ridge_diff_velocity_scaled
677749.2420353355,-1463018.951995198,-8.617453730101003
677258.874420379,-1463112.5101196342,-5.467299430932693
676765.1264048804,-1463189.7777132532,-7.326202939977845
676270.8029528828,-1463263.0888047146,-3.0201084843134254
675779.8374933653,-1463355.4990207467,-5.844296854366176
675290.0855664051,-1463455.348251333,-6.538567042810042
674797.7799463143,-1463541.517952061,-5.430876369087304
674305.2086611514,-1463626.7857255582,-3.839838356310679
673812.6431355173,-1463712.12516767,-5.041541959204929
673319.9141996929,-1463796.1912193075,-5.812909366244817
672829.2366871223,-1463891.3892714072,-6.242062493193867
672338.3476334937,-1463985.8444674644,-8.07682959656724
671845.2632495048,-1464068.3705921045,-6.819439242053734
671351.2255144116,-1464145.0552826698,-5.271050202981083
670858.9283752439,-1464231.474774418,-9.727029176266557
670367.3462072843,-1464322.190619587,0.15775345432788868
669874.9540850673,-1464408.5796580613,-11.47633436486392
669383.568266802,-1464500.6522751388,-9.79560507879713
668891.9902001541,-1464591.7425813684,-4.529224805353213
668399.8577155395,-1464679.8904229598,-9.660613209900482
667907.7395226433,-1464768.178229748,9.259252258080666
667414.4724410165,-1464849.4520048338,-0.4925835701040362
666921.1383598006,-1464930.1852818036,3.904095456403838
666428.4540757787,-1465015.033233217,0.8721695805123062
665936.4531339275,-1465103.777399251,-0.32405815883472666
665445.3649423146,-1465197.552936245,1.4357694308172286
664953.7826121843,-1465288.5823074416,0.011562322875900755
664461.2366574001,-1465374.4014267777,1.0733712679854834
663968.0870038483,-1465456.7187191453,-2.628583071132196
663473.3603188875,-1465528.2325032216,2.32858041328047
662978.3929260557,-1465597.0793487076,1.305119335521363
662487.4809560259,-1465689.1050290843,2.043283114448082
661998.4270490981,-1465792.6631716718,0.4146528314202058
661506.8033356373,-1465883.2049055554,-1.031977343261243
661014.8404926669,-1465971.8151696378,2.9611548242921284
660524.5233180969,-1466069.2047196703,0.24109000704456207
660033.3675094886,-1466162.1768384466,-2.0050310422914546
659540.1965963274,-1466244.224195569,-3.952572291613061
659047.1412020664,-1466327.0353981466,-1.3669033141576836
658555.0791181253,-1466415.6501144317,-4.558777863029617
658063.1231496122,-1466504.920245864,-3.0550872813841874
657570.6055265806,-1466590.8596735892,-4.201228015951335
657077.1379085366,-1466671.079217187,-3.2707236372389072
656583.361793118,-1466749.6089868464,-3.0035928840584223
656089.9543184679,-1466830.3581939803,-3.8497620608932515
677294.0211946523,-1462086.4944148422,1.098844291493041
676799.4538975438,-1462159.8804602064,-0.5106972936896099
670405.5664033663,-1463307.1118691212,-3.970656907012943
669909.6098954835,-1463365.342490359,-6.110411950523
668928.0223185922,-1463551.9736150862,13.02463162643048
668435.6133934342,-1463638.5619621251,-3.479262997245243
656133.6726682245,-1465803.3619554439,-4.201430634272594
677411.7897639393,-1461047.6705650382,-4.187853477415992
676922.0729677429,-1461148.2187471704,-5.346185541695359
670032.5685823057,-1462348.9713776836,-8.022969980985224
669541.5930128978,-1462439.6873433182,-8.1694405852274
668059.9508967291,-1462667.9108556462,-12.741019105757854
667570.8258405556,-1462770.0116845933,-4.5287217441384
655767.5037094126,-1464896.6984790822,-9.151335006214007
666733.013658207,-1461903.2447338447,-5.930262081113289
667228.971239061,-1461841.3025260835,-6.726005230134222
669686.8661096187,-1461397.155697146,-9.601728616177425
670176.4721176653,-1461296.786739491,-4.64806438255782
676576.5370117485,-1460172.5679903412,-2.2120616339884975
677067.5755019144,-1460078.981716247,-2.9690870110599406
655154.4965068357,-1462920.3372579208,-8.830266986309594
655646.6885877652,-1462833.2472957787,-9.559852296224333
665977.9111781626,-1461029.176429592,-13.517611879482152
666469.011336224,-1460935.6237386898,-13.288182578174034
669422.043880982,-1460410.367519774,-0.11339208660139555
669914.897519265,-1460326.2888784858,-7.601580429024575
676309.0653872842,-1459177.146277829,0.6557512589916925
676801.5393487529,-1459092.2989576948,0.3550060265960582
676780.0009728906,-1458096.9083533837,4.850300058348681
676287.0191746854,-1458180.1579159684,3.241879578428522
675793.8891939323,-1458262.4997928827,2.610289936145046
675302.5107756715,-1458354.2205770027,8.763930860391579
674813.7342623353,-1458459.0346991916,-5.830834870115456
674323.4802919582,-1458555.684293539,-7.366030232235326
673829.6648448885,-1458633.2316001446,-5.205346850792578
673335.3819427663,-1458708.3754055724,4.6363175710457885
672842.728705473,-1458793.287528019,-3.6989737247812937
672351.489738424,-1458886.246391768,-4.884724386754115
